Recipe Name,Ingredients,Instructions
Egg Curry,"Eggs, Onion, Tomato, Spices, Oil, Salt","Boil eggs, prepare onion-tomato gravy with spices, and mix eggs into the curry."
Masala Omelette,"Eggs, Onion, Green Chili, Coriander, Salt, Oil","Beat eggs with onion, chili, and coriander. Cook on pan till golden."
Chicken Curry,"Chicken, Onion, Tomato, Ginger, Garlic, Garam Masala, Oil","Marinate chicken with spices, cook with onion-tomato gravy."
Paneer Butter Masala,"Paneer, Tomato, Butter, Cream, Spices","Cook tomato gravy with butter and cream, add paneer cubes."
Veg Biryani,"Rice, Mixed Vegetables, Spices, Saffron, Ghee",Cook spiced rice with mixed veggies and saffron for flavor.
Aloo Gobi,"Potato, Cauliflower, Onion, Tomato, Spices, Oil","Sauté onion and tomato, add potato and cauliflower, cook till soft."
Chole Masala,"Chickpeas, Onion, Tomato, Spices, Oil","Boil chickpeas, cook with onion-tomato masala and spices."
Mutton Rogan Josh,"Mutton, Yogurt, Onion, Garlic, Ginger, Kashmiri Chili, Spices",Cook mutton in yogurt-based curry with aromatic spices.
Fish Curry,"Fish, Coconut Milk, Tamarind, Spices, Curry Leaves",Cook fish in coconut-tamarind curry with curry leaves.
Idli Sambar,"Rice, Urad Dal, Toor Dal, Tamarind, Onion, Tomato, Mustard Seeds, Curry Leaves",Make idlis from fermented batter and serve with spicy sambar.
Dosa,"Rice, Urad Dal, Oil, Salt","Prepare fermented batter, spread thin on tawa, and cook till crisp."
Rava Upma,"Rava, Onion, Mustard Seeds, Curry Leaves, Green Chili, Water, Salt, Oil","Roast rava, sauté onion and spices, add water, cook till thick."
Poha,"Flattened Rice, Onion, Potato, Curry Leaves, Mustard Seeds, Turmeric","Soak poha, mix with sautéed onion, potato, and spices."
Pulao,"Rice, Vegetables, Spices, Ghee, Salt",Cook rice with mixed veggies and whole spices.
Rajma,"Kidney Beans, Onion, Tomato, Ginger, Garlic, Spices, Oil",Boil kidney beans and cook in spiced onion-tomato gravy.
Dal Tadka,"Toor Dal, Onion, Tomato, Garlic, Mustard Seeds, Ghee, Spices","Cook dal, temper with fried garlic and mustard seeds in ghee."
Sambar,"Toor Dal, Tamarind, Vegetables, Mustard Seeds, Curry Leaves","Boil dal with tamarind and vegetables, add tempering of mustard seeds."
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Cream, Spices","Cook spinach puree with spices and paneer, finish with cream."
Butter Chicken,"Chicken, Tomato, Butter, Cream, Spices",Cook chicken in rich tomato-butter gravy with cream.
Kadai Paneer,"Paneer, Capsicum, Tomato, Onion, Spices",Stir-fry paneer and capsicum in spicy tomato gravy.
Pav Bhaji,"Potato, Tomato, Peas, Onion, Capsicum, Butter, Pav, Spices","Mash boiled veggies, cook with masala, serve with buttered pav."
Bhel Puri,"Puffed Rice, Onion, Tomato, Tamarind Chutney, Sev",Mix puffed rice with veggies and chutney for a tangy snack.
Vada Pav,"Potato, Gram Flour, Bread, Garlic, Green Chili, Spices","Make potato vada, place in pav with chutneys."
Kheer,"Rice, Milk, Sugar, Cardamom, Dry Fruits","Boil rice in milk, add sugar and cardamom, garnish with dry fruits."
Gulab Jamun,"Khoya, Sugar Syrup, Ghee, Cardamom","Fry khoya balls, soak in sugar syrup."
Dhokla,"Gram Flour, Yogurt, Turmeric, Mustard Seeds, Curry Leaves","Steam fermented batter, add tempering, and serve soft dhokla."
Pani Puri,"Semolina, Potato, Chickpeas, Spicy Water, Tamarind Chutney","Fill puris with potato and chickpeas, pour spiced tangy water."
Bhindi Masala,"Okra, Onion, Tomato, Spices, Oil",Cook okra with onion and tomato masala.
Egg Biryani,"Boiled Eggs, Rice, Spices, Fried Onion, Ghee","Layer boiled eggs and rice with masala, cook on dum."
Matar Paneer,"Paneer, Peas, Onion, Tomato, Spices",Cook peas and paneer in onion-tomato curry.
Methi Malai Matar Variant 1,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Paratha Variant 2,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Kashmiri Pulao Variant 3,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Paneer Fried Rice Variant 4,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Paneer Tikka Variant 5,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Veg Momos Variant 6,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Aloo Matar Variant 7,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Veg Manchurian Variant 8,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Crab Masala Variant 9,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Aloo Matar Variant 10,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Veg Manchurian Variant 11,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Aloo Matar Variant 12,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Jeera Rice Variant 13,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Veg Momos Variant 14,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Sooji Halwa Variant 15,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chicken Momos Variant 16,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Curd Rice Variant 17,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Aloo Matar Variant 18,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Prawn Curry Variant 19,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Tamarind Rice Variant 20,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Paneer Tikka Variant 21,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Egg Fried Rice Variant 22,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Chicken 65 Variant 23,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Sooji Halwa Variant 24,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Veg Momos Variant 25,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Poori Bhaji Variant 26,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Paratha Variant 27,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Tandoori Chicken Variant 28,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Paratha Variant 29,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Rasgulla Variant 30,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Sooji Halwa Variant 31,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chicken Tikka Variant 32,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Rasgulla Variant 33,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Prawn Curry Variant 34,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Chapati Variant 35,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Tandoori Chicken Variant 36,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Lemon Rice Variant 37,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Egg Fried Rice Variant 38,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Sabudana Khichdi Variant 39,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Malai Kofta Variant 40,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Fish Fry Variant 41,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chili Paneer Variant 42,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Sabudana Khichdi Variant 43,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Besan Ladoo Variant 44,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Prawn Curry Variant 45,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Sabudana Khichdi Variant 46,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Paneer Tikka Variant 47,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Sweet Corn Soup Variant 48,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Kashmiri Pulao Variant 49,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paneer Tikka Variant 50,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Jeera Rice Variant 51,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paneer Fried Rice Variant 52,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chili Paneer Variant 53,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Veg Manchurian Variant 54,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Curd Rice Variant 55,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
